sample	fraction	asv	asv_depth	total_asv_depth	relative_abundance	relative_abundance_pct	NM	mapping_category	abundance_bin
AD1_ont	0.111	final_consensus_96_depth_181	181	125002	0.001447976832370682	0.1447976832370682	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_97_depth_181	181	125002	0.001447976832370682	0.1447976832370682	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_98_depth_174	174	125002	0.0013919777283563463	0.13919777283563464	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_99_depth_174	174	125002	0.0013919777283563463	0.13919777283563464	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_100_depth_173	173	125002	0.0013839778563542982	0.13839778563542984	1	NM_1	0.1-<1%
AD1_ont	0.111	final_consensus_101_depth_173	173	125002	0.0013839778563542982	0.13839778563542984	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_102_depth_170	170	125002	0.0013599782403481543	0.13599782403481545	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_103_depth_166	166	125002	0.0013279787523399625	0.13279787523399625	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_104_depth_165	165	125002	0.0013199788803379146	0.13199788803379145	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_105_depth_164	164	125002	0.0013119790083358667	0.13119790083358665	1	NM_1	0.1-<1%
AD1_ont	0.111	final_consensus_106_depth_161	161	125002	0.0012879793923297228	0.12879793923297228	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_107_depth_159	159	125002	0.0012719796483256268	0.12719796483256268	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_108_depth_159	159	125002	0.0012719796483256268	0.12719796483256268	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_109_depth_157	157	125002	0.0012559799043215308	0.12559799043215308	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_110_depth_157	157	125002	0.0012559799043215308	0.12559799043215308	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_111_depth_156	156	125002	0.001247980032319483	0.12479800323194828	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_112_depth_156	156	125002	0.001247980032319483	0.12479800323194828	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_113_depth_156	156	125002	0.001247980032319483	0.12479800323194828	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_114_depth_154	154	125002	0.001231980288315387	0.1231980288315387	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_115_depth_153	153	125002	0.001223980416313339	0.1223980416313339	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_116_depth_153	153	125002	0.001223980416313339	0.1223980416313339	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_117_depth_152	152	125002	0.001215980544311291	0.1215980544311291	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_118_depth_152	152	125002	0.001215980544311291	0.1215980544311291	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_119_depth_152	152	125002	0.001215980544311291	0.1215980544311291	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_120_depth_151	151	125002	0.001207980672309243	0.1207980672309243	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_121_depth_149	149	125002	0.0011919809283051472	0.11919809283051472	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_122_depth_145	145	125002	0.0011599814402969552	0.11599814402969552	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_123_depth_144	144	125002	0.0011519815682949073	0.11519815682949072	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_124_depth_144	144	125002	0.0011519815682949073	0.11519815682949072	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_125_depth_144	144	125002	0.0011519815682949073	0.11519815682949072	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_126_depth_144	144	125002	0.0011519815682949073	0.11519815682949072	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_127_depth_142	142	125002	0.0011359818242908113	0.11359818242908114	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_128_depth_141	141	125002	0.0011279819522887634	0.11279819522887634	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_129_depth_141	141	125002	0.0011279819522887634	0.11279819522887634	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_130_depth_140	140	125002	0.0011199820802867155	0.11199820802867154	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_131_depth_140	140	125002	0.0011199820802867155	0.11199820802867154	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_132_depth_138	138	125002	0.0011039823362826195	0.11039823362826195	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_133_depth_138	138	125002	0.0011039823362826195	0.11039823362826195	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_134_depth_138	138	125002	0.0011039823362826195	0.11039823362826195	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_135_depth_137	137	125002	0.0010959824642805716	0.10959824642805716	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_136_depth_136	136	125002	0.0010879825922785235	0.10879825922785236	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_137_depth_134	134	125002	0.0010719828482744277	0.10719828482744276	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_138_depth_133	133	125002	0.0010639829762723796	0.10639829762723796	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_139_depth_131	131	125002	0.0010479832322682838	0.10479832322682837	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_140_depth_129	129	125002	0.0010319834882641878	0.10319834882641878	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_141_depth_129	129	125002	0.0010319834882641878	0.10319834882641878	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_142_depth_128	128	125002	0.0010239836162621399	0.10239836162621398	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_143_depth_127	127	125002	0.0010159837442600917	0.10159837442600918	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_144_depth_124	124	125002	0.0009919841282539478	0.0991984128253948	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_145_depth_122	122	125002	0.000975984384249852	0.0975984384249852	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_146_depth_121	121	125002	0.000967984512247804	0.09679845122478041	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_147_depth_121	121	125002	0.000967984512247804	0.09679845122478041	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_148_depth_119	119	125002	0.0009519847682437081	0.09519847682437081	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_149_depth_117	117	125002	0.0009359850242396121	0.09359850242396121	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_150_depth_116	116	125002	0.0009279851522375642	0.09279851522375641	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_151_depth_116	116	125002	0.0009279851522375642	0.09279851522375641	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_152_depth_116	116	125002	0.0009279851522375642	0.09279851522375641	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_153_depth_115	115	125002	0.0009199852802355162	0.09199852802355163	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_154_depth_113	113	125002	0.0009039855362314203	0.09039855362314203	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_155_depth_112	112	125002	0.0008959856642293723	0.08959856642293723	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_156_depth_111	111	125002	0.0008879857922273243	0.08879857922273243	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_157_depth_111	111	125002	0.0008879857922273243	0.08879857922273243	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_158_depth_110	110	125002	0.0008799859202252764	0.08799859202252763	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_159_depth_110	110	125002	0.0008799859202252764	0.08799859202252763	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_160_depth_109	109	125002	0.0008719860482232284	0.08719860482232285	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_161_depth_109	109	125002	0.0008719860482232284	0.08719860482232285	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_162_depth_109	109	125002	0.0008719860482232284	0.08719860482232285	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_163_depth_109	109	125002	0.0008719860482232284	0.08719860482232285	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_164_depth_109	109	125002	0.0008719860482232284	0.08719860482232285	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_165_depth_108	108	125002	0.0008639861762211804	0.08639861762211805	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_166_depth_108	108	125002	0.0008639861762211804	0.08639861762211805	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_167_depth_107	107	125002	0.0008559863042191325	0.08559863042191325	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_168_depth_106	106	125002	0.0008479864322170845	0.08479864322170845	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_169_depth_105	105	125002	0.0008399865602150366	0.08399865602150365	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_170_depth_105	105	125002	0.0008399865602150366	0.08399865602150365	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_171_depth_105	105	125002	0.0008399865602150366	0.08399865602150365	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_172_depth_105	105	125002	0.0008399865602150366	0.08399865602150365	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_173_depth_105	105	125002	0.0008399865602150366	0.08399865602150365	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_174_depth_105	105	125002	0.0008399865602150366	0.08399865602150365	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_175_depth_104	104	125002	0.0008319866882129886	0.08319866882129887	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_176_depth_103	103	125002	0.0008239868162109406	0.08239868162109407	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_177_depth_103	103	125002	0.0008239868162109406	0.08239868162109407	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_178_depth_102	102	125002	0.0008159869442088927	0.08159869442088927	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_179_depth_101	101	125002	0.0008079870722068447	0.08079870722068447	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_180_depth_101	101	125002	0.0008079870722068447	0.08079870722068447	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_181_depth_101	101	125002	0.0008079870722068447	0.08079870722068447	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_182_depth_101	101	125002	0.0008079870722068447	0.08079870722068447	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_183_depth_101	101	125002	0.0008079870722068447	0.08079870722068447	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_184_depth_101	101	125002	0.0008079870722068447	0.08079870722068447	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_185_depth_100	100	125002	0.0007999872002047967	0.07999872002047967	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_186_depth_100	100	125002	0.0007999872002047967	0.07999872002047967	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_187_depth_100	100	125002	0.0007999872002047967	0.07999872002047967	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_188_depth_99	99	125002	0.0007919873282027488	0.07919873282027487	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_189_depth_98	98	125002	0.0007839874562007008	0.07839874562007008	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_190_depth_98	98	125002	0.0007839874562007008	0.07839874562007008	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_191_depth_97	97	125002	0.0007759875841986528	0.07759875841986529	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_192_depth_97	97	125002	0.0007759875841986528	0.07759875841986529	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_193_depth_96	96	125002	0.0007679877121966049	0.07679877121966049	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_194_depth_94	94	125002	0.0007519879681925089	0.07519879681925089	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_195_depth_92	92	125002	0.000735988224188413	0.0735988224188413	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_196_depth_92	92	125002	0.000735988224188413	0.0735988224188413	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_197_depth_91	91	125002	0.000727988352186365	0.0727988352186365	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_198_depth_91	91	125002	0.000727988352186365	0.0727988352186365	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_199_depth_90	90	125002	0.0007199884801843171	0.0719988480184317	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_200_depth_90	90	125002	0.0007199884801843171	0.0719988480184317	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_201_depth_89	89	125002	0.0007119886081822691	0.0711988608182269	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_202_depth_89	89	125002	0.0007119886081822691	0.0711988608182269	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_203_depth_89	89	125002	0.0007119886081822691	0.0711988608182269	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_204_depth_89	89	125002	0.0007119886081822691	0.0711988608182269	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_205_depth_88	88	125002	0.0007039887361802211	0.0703988736180221	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_206_depth_88	88	125002	0.0007039887361802211	0.0703988736180221	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_207_depth_87	87	125002	0.0006959888641781732	0.06959888641781732	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_208_depth_86	86	125002	0.0006879889921761252	0.06879889921761252	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_209_depth_86	86	125002	0.0006879889921761252	0.06879889921761252	0	NM_0	0.05-<0.1%
AD1_ont	0.111	final_consensus_210_depth_86	86	125002	0.0006879889921761252	0.06879889921761252	0	NM_0	0.05-<0.1%
